"","studyName","location","latitude","longitude","vegetation","map","mat","grouping","lai","species","speciesMatched","family","pft","growingCondition","status","light","age","a.lf","a.ssba","a.ssbh","a.ssbc","a.shba","a.shbh","a.shbc","a.sbba","a.sbbh","a.sbbc","a.stba","a.stbh","a.stbc","a.cp","a.cs","h.t","h.c","d.ba","d.bh","h.bh","d.cr","c.d","m.lf","m.ss","m.sh","m.sb","m.st","m.so","m.br","m.rf","m.rc","m.rt","m.to","a.ilf","ma.ilf","r.st","r.ss","r.sb","r.sh","n.lf","n.ss","n.sb","n.sh","n.rf","n.rc","mean_annual_precipitation"
"12","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,38,NA,NA,0.01222157,NA,NA,0.001256636,NA,NA,NA,NA,NA,0.015836755,NA,4.448805599,NA,13,6.8,NA,0.141999939177037,1.3,2.37999899484979,6.2,3.056,NA,NA,NA,48.115,51.171,5.312,NA,NA,4.955,56.126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
"13","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,7,NA,NA,0.00014844,NA,NA,2.83e-05,NA,NA,NA,NA,NA,0.00022698,NA,0.693977231,NA,2.9,0.7,NA,0.0169999974077641,1.3,0.9399996030079,2.2,NA,NA,NA,NA,0.313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
"14","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,10,NA,NA,0.001555283,NA,NA,0,NA,NA,NA,NA,NA,0.001963494,NA,1.093587479,NA,3.8,0.8,NA,0.049999982066499,1.3,1.17999950164821,3,NA,NA,NA,NA,1.947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
"15","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,12,NA,NA,0.00587654,NA,NA,0,NA,NA,NA,NA,NA,0.007013796,NA,2.717161191,NA,6.3,1.2,NA,0.0944999599254164,1.3,1.85999921446244,5.1,NA,NA,NA,NA,10.423,NA,NA,NA,NA,1.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
"16","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,6,NA,NA,6.6e-05,NA,NA,1.26e-05,NA,NA,NA,NA,NA,9.5e-05,NA,0.580879991,NA,2.1,0.9,NA,0.0109980796846468,1.3,0.859999636794461,1.2,0.061,NA,NA,NA,0.23,0.291,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
"17","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,12,NA,NA,0.005152993,NA,NA,0,NA,NA,NA,NA,NA,0.006503877,NA,5.557158551,NA,6.5,1.5,NA,0.090999963684023,1.3,2.65999887659682,5,3.192,NA,NA,NA,9.009,12.201,3.479,NA,NA,1.12,13.321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
"18","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,15,NA,NA,0.006647604,NA,NA,0,NA,NA,NA,NA,NA,0.008171276,NA,3.332912831,NA,6.1,1.1,NA,0.101999959481097,1.3,2.05999912999604,5,4.213,NA,NA,NA,9.98,14.193,4.536,NA,NA,1.208,15.401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
"19","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,82,NA,NA,0.008268665,NA,NA,0.003421192,NA,NA,NA,NA,NA,0.01358129,NA,1.960666319,NA,15.8,11.1,NA,0.131499944853662,1.3,1.57999933271541,4.7,NA,NA,NA,NA,57.921,NA,NA,NA,NA,4.309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
"20","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,83,NA,NA,0.008094503,NA,NA,0.007853975,NA,NA,NA,NA,NA,0.019855634,NA,2.164241351,NA,16.1,11.4,NA,0.158999932058438,1.3,1.65999929892884,4.7,NA,NA,NA,NA,89.231,NA,NA,NA,NA,4.176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
"21","Albrektson1984","Central Sweden",60,16,"BorF",NA,NA,"fertilized = no",NA,"Pinus sylvestris","Pinus sylvestris","Pinaceae","EG","PM",NA,NA,87,NA,NA,0.033300854,NA,NA,0.016971655,NA,NA,NA,NA,NA,0.063347021,NA,4.154752775,NA,19.9,6.9,NA,0.283999880595695,1.3,2.29999902863635,13,NA,NA,NA,NA,256.245,NA,NA,NA,NA,33.361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673
